CED_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
CED101,..,425,197,620,0,617,..,18154,9058,27215,181,27397,..,1020,123,1138,3,1147,..,290,12,297,0,300,..,224,3,228,4,233,..,5511,717,6230,39,6266,..,812,53,866,3,865,..,203,12,210,0,211,..,904,30,940,12,945,..,5246,252,5494,45,5543,..,500,40,541,0,544,..,151,4,159,0,159,..,638,27,668,7,672,..,220,8,233,3,234,..,8680,426,9107,66,9175,..,1306,125,1432,7,1442,..,363,56,417,0,423,..,38,8,48,0,48,..,384,157,541,3,543,..,2640,377,3019,16,3034,..,153,4,153,3,156,..,167,17,189,5,195,..,241,25,272,3,273,..,707,101,806,4,807,..,362,60,422,3,427,..,241,23,267,3,272,..,353,62,411,3,417,..,788,22,810,11,820,..,1423,172,1598,20,1609,..,1347,51,1398,10,1413,..,242,19,259,0,259,..,3810,256,4065,37,4105,..,1598,221,1817,14,1832,..,187
CED102,..,556,236,794,0,794,..,19541,8744,28285,205,28486,..,528,105,630,0,636,..,423,26,453,5,455,..,215,0,218,3,222,..,10753,2453,13210,76,13289,..,2052,168,2215,15,2234,..,205,16,218,6,223,..,1373,55,1427,14,1438,..,8194,341,8540,72,8609,..,225,13,236,3,234,..,145,5,147,4,153,..,516,26,540,3,546,..,294,7,298,0,298,..,13005,623,13622,111,13737,..,2385,379,2765,10,2778,..,533,76,608,8,612,..,72,14,86,0,91,..,553,212,771,12,779,..,3968,936,4903,11,4908,..,315,19,337,0,338,..,226,15,246,0,246,..,308,27,333,3,337,..,2453,592,3048,28,3073,..,618,93,709,5,716,..,125,9,130,0,130,..,691,90,780,4,787,..,1098,31,1131,10,1148,..,2017,243,2256,22,2284,..,1747,61,1818,14,1829,..,306,31,333,4,337,..,5170,372,5540,53,5595,..,3208,483,3689,25,3713,..,295
CED103,..,746,234,979,3,984,..,35535,10467,46009,360,46370,..,422,44,462,5,471,..,441,14,455,6,460,..,419,12,430,5,440,..,1168,159,1331,7,1333,..,1062,41,1103,16,1123,..,413,18,428,9,431,..,3473,78,3546,25,3568,..,926,25,954,3,957,..,680,43,726,5,731,..,816,25,841,11,851,..,1238,58,1302,15,1315,..,776,18,795,5,800,..,9387,314,9692,83,9779,..,2195,292,2491,19,2511,..,903,110,1013,9,1016,..,56,9,63,0,63,..,7501,3236,10739,71,10811,..,164,21,179,0,179,..,674,13,692,11,698,..,1977,279,2248,20,2268,..,338,35,370,4,372,..,523,44,564,3,572,..,675,75,750,9,759,..,30,7,36,0,36,..,343,30,373,7,373,..,1161,26,1185,11,1194,..,1489,123,1614,19,1634,..,1489,33,1525,16,1535,..,378,18,395,0,398,..,4519,198,4719,46,4763,..,1635,146,1779,17,1792,..,1710
CED104,..,390,88,473,0,477,..,14635,3587,18224,139,18363,..,244,9,254,7,261,..,326,10,336,10,349,..,559,13,571,7,572,..,415,36,453,0,453,..,392,8,398,3,406,..,385,21,402,0,405,..,2441,70,2518,14,2535,..,538,36,576,3,583,..,609,32,638,7,643,..,1126,39,1162,5,1167,..,685,16,698,0,703,..,511,9,521,0,525,..,6695,226,6920,40,6965,..,1099,111,1203,8,1212,..,502,34,537,8,546,..,27,6,27,0,27,..,2135,630,2767,19,2787,..,25,6,29,0,29,..,505,13,514,4,522,..,1630,152,1787,21,1803,..,398,18,415,0,415,..,166,5,175,0,172,..,591,67,658,0,659,..,22,0,18,0,18,..,131,0,138,0,138,..,447,19,463,0,464,..,490,38,524,4,528,..,626,13,647,7,643,..,143,3,145,3,146,..,1705,78,1780,15,1790,..,995,71,1068,9,1072,..,1466
CED105,..,449,372,826,3,829,..,10350,10905,21255,132,21393,..,582,109,691,3,693,..,162,10,176,3,177,..,96,7,101,0,103,..,2299,515,2815,9,2834,..,1919,166,2089,30,2110,..,203,21,225,0,229,..,1159,63,1226,0,1226,..,5639,250,5894,36,5926,..,535,59,596,3,600,..,113,10,119,0,119,..,5572,513,6086,67,6151,..,212,14,230,0,227,..,15363,1096,16459,141,16596,..,1164,190,1353,12,1370,..,108,21,131,0,131,..,139,45,178,0,178,..,1172,916,2088,12,2093,..,1564,395,1952,10,1969,..,243,17,258,0,262,..,406,184,590,3,596,..,247,43,285,0,285,..,262,76,334,3,336,..,229,47,277,0,276,..,499,41,541,8,548,..,233,52,280,3,279,..,642,18,665,3,669,..,907,116,1023,16,1039,..,1121,27,1151,0,1151,..,317,64,381,9,390,..,2991,232,3222,29,3255,..,740,163,906,12,917,..,1118
CED106,..,525,125,652,3,653,..,26776,6864,33639,271,33914,..,181,6,194,0,195,..,559,14,575,9,586,..,670,15,686,4,688,..,415,33,446,0,452,..,302,9,315,4,314,..,331,5,338,0,341,..,2398,78,2474,14,2492,..,1410,70,1483,10,1487,..,744,43,786,0,784,..,511,12,524,4,525,..,442,18,462,7,472,..,530,16,545,8,551,..,6663,256,6922,53,6971,..,659,48,711,7,714,..,1450,280,1732,9,1741,..,29,5,28,0,30,..,3650,1101,4750,19,4768,..,61,3,70,0,70,..,363,15,379,6,380,..,2162,234,2396,17,2414,..,309,23,332,0,335,..,339,27,367,0,366,..,687,80,769,9,782,..,15,0,15,0,15,..,150,8,150,0,152,..,576,20,594,8,598,..,682,68,745,5,754,..,691,19,710,3,718,..,172,13,189,0,189,..,2124,113,2238,19,2254,..,1303,77,1371,12,1387,..,790
CED107,..,21,3,28,0,28,..,472,189,661,11,670,..,95,9,106,0,108,..,140,8,147,5,146,..,243,12,259,0,260,..,149,11,167,4,169,..,118,12,129,3,130,..,57,4,64,0,64,..,206,13,221,0,225,..,489,22,510,12,524,..,346,42,387,6,392,..,92,0,93,0,93,..,219,22,243,3,246,..,22,0,22,0,22,..,1543,126,1666,31,1698,..,243,34,279,4,280,..,78,4,78,0,78,..,27,16,46,0,46,..,82,37,124,4,127,..,13,0,12,0,12,..,342,33,374,3,382,..,68,12,79,0,79,..,75,9,79,0,76,..,41,5,43,0,43,..,99,15,113,0,115,..,33,0,33,0,33,..,50,12,66,0,64,..,205,5,207,5,211,..,66,5,71,0,76,..,350,8,356,0,356,..,62,4,64,0,64,..,682,23,700,6,708,..,330,24,355,6,356,..,150
CED108,..,84,31,115,0,115,..,2302,1352,3646,29,3682,..,563,110,674,4,677,..,270,30,298,3,302,..,178,11,187,0,187,..,700,159,861,3,866,..,2480,166,2647,29,2672,..,4192,373,4564,54,4616,..,7745,401,8142,58,8200,..,1844,217,2063,33,2089,..,7936,786,8718,91,8819,..,793,36,827,4,835,..,5021,516,5539,71,5607,..,1207,75,1279,12,1294,..,31213,2574,33791,350,34139,..,555,69,627,3,627,..,69,10,81,0,80,..,101,28,129,0,134,..,581,365,945,11,955,..,122,32,148,6,149,..,1041,49,1086,10,1104,..,621,185,802,8,818,..,410,106,516,0,516,..,194,29,226,8,231,..,210,30,241,6,246,..,3116,403,3513,24,3537,..,362,108,468,0,472,..,5166,175,5341,39,5377,..,692,97,788,17,805,..,10296,402,10694,55,10749,..,637,44,678,0,682,..,16791,712,17501,117,17620,..,1252,316,1568,7,1577,..,2476
CED109,..,131,41,169,0,169,..,4620,1548,6168,39,6205,..,569,53,624,9,629,..,414,12,430,10,437,..,362,8,374,5,372,..,6812,786,7596,37,7635,..,164,8,171,0,171,..,105,6,106,0,109,..,312,7,323,5,325,..,129,13,136,0,143,..,139,7,147,3,149,..,51,0,54,0,54,..,77,0,77,0,77,..,61,0,63,0,60,..,1047,43,1087,10,1092,..,1353,137,1490,14,1496,..,262,20,283,3,290,..,57,23,81,0,81,..,136,37,173,3,171,..,1397,140,1535,6,1539,..,94,3,97,0,99,..,119,10,132,0,128,..,334,20,353,0,359,..,1024,120,1151,17,1166,..,863,124,991,0,998,..,51,0,51,0,54,..,549,45,590,3,596,..,225,10,232,3,236,..,291,29,318,8,324,..,380,19,399,5,403,..,69,0,74,0,77,..,967,54,1022,10,1034,..,1628,188,1814,26,1839,..,59
CED110,..,33,8,39,0,39,..,473,198,666,11,678,..,47,8,59,0,59,..,297,9,302,7,311,..,500,17,517,0,518,..,101,6,107,0,107,..,27,0,27,0,27,..,57,4,61,0,61,..,124,4,127,0,127,..,250,25,275,0,276,..,524,94,615,3,616,..,47,4,51,0,51,..,57,3,60,0,57,..,31,0,33,0,33,..,1120,128,1246,4,1254,..,279,21,292,6,301,..,154,26,182,0,182,..,16,4,19,0,19,..,57,25,85,0,83,..,10,0,11,0,11,..,182,21,209,0,210,..,27,5,34,0,34,..,61,5,66,0,69,..,111,7,115,3,116,..,84,3,88,3,91,..,19,0,22,0,25,..,17,4,25,0,25,..,206,11,217,0,221,..,93,0,99,0,99,..,298,9,302,8,308,..,94,17,109,6,113,..,689,35,729,8,739,..,357,38,397,5,403,..,47
CED111,..,74,20,96,0,92,..,2100,526,2620,25,2647,..,477,81,563,6,566,..,306,12,317,0,321,..,411,11,427,4,430,..,1117,175,1291,9,1296,..,233,14,239,0,250,..,103,4,105,0,104,..,468,14,475,0,478,..,301,10,310,0,310,..,249,19,269,0,273,..,165,6,173,0,173,..,443,41,478,9,487,..,142,3,146,0,146,..,2095,109,2206,14,2219,..,2060,414,2479,10,2490,..,220,20,240,0,243,..,23,9,31,0,31,..,181,59,246,3,245,..,2532,706,3239,18,3257,..,530,30,554,10,557,..,239,40,277,0,279,..,210,36,240,3,244,..,507,179,692,3,694,..,155,21,174,0,181,..,64,0,72,0,72,..,992,248,1241,9,1256,..,201,10,214,0,213,..,197,11,213,0,213,..,367,25,390,4,397,..,84,6,85,0,85,..,850,50,905,7,906,..,1134,158,1288,15,1301,..,186
CED112,..,16,10,27,0,27,..,751,336,1085,8,1093,..,80,20,94,0,94,..,203,10,216,3,215,..,278,12,295,5,299,..,264,28,292,8,303,..,62,7,73,0,73,..,64,0,64,0,64,..,226,14,240,10,246,..,194,14,206,0,210,..,287,20,311,4,311,..,46,0,46,0,46,..,109,18,129,0,125,..,53,0,51,0,51,..,1037,72,1112,11,1120,..,394,38,442,4,440,..,143,19,159,0,159,..,28,9,36,0,36,..,260,120,377,0,377,..,17,3,24,0,24,..,496,51,544,11,556,..,63,3,68,0,71,..,131,16,147,0,148,..,203,18,219,6,221,..,215,28,243,4,246,..,75,11,78,0,83,..,115,14,130,0,130,..,282,9,293,6,297,..,158,21,176,0,176,..,440,13,456,0,457,..,96,9,102,7,113,..,979,50,1033,13,1046,..,716,67,784,5,784,..,65
CED113,..,22,3,23,0,23,..,619,175,791,10,803,..,271,33,307,0,306,..,324,7,332,0,332,..,541,16,557,8,570,..,293,40,333,4,336,..,199,14,217,0,219,..,134,9,137,0,137,..,345,15,358,8,363,..,618,29,647,3,656,..,800,77,869,3,876,..,103,8,107,0,110,..,237,17,257,3,259,..,77,4,78,0,80,..,2503,168,2677,22,2691,..,721,71,791,3,790,..,81,7,87,0,87,..,18,8,26,0,26,..,88,25,117,0,117,..,783,135,917,3,921,..,220,20,239,3,244,..,71,3,74,0,75,..,167,10,171,3,174,..,150,16,167,0,167,..,138,6,146,0,145,..,66,0,70,0,70,..,312,43,348,7,350,..,268,14,282,0,282,..,114,10,124,0,124,..,384,18,398,5,404,..,85,3,92,3,94,..,847,45,894,6,901,..,416,41,463,4,471,..,110
CED114,..,13,10,27,0,27,..,550,405,955,10,964,..,66,4,74,0,74,..,106,4,114,3,118,..,227,3,231,3,235,..,170,23,193,0,196,..,122,11,132,0,135,..,726,328,1060,4,1065,..,278,40,318,3,315,..,541,315,860,10,864,..,1713,333,2041,29,2078,..,125,12,140,0,136,..,208,24,225,3,231,..,57,3,60,0,60,..,3761,1064,4828,53,4875,..,1671,277,1949,19,1970,..,81,12,90,0,94,..,19,0,19,0,19,..,72,29,106,6,108,..,22,0,23,0,23,..,238,37,268,5,269,..,40,3,41,0,41,..,37,4,46,3,45,..,44,0,53,0,53,..,57,3,56,0,56,..,320,40,358,11,366,..,36,3,43,0,43,..,388,21,410,6,421,..,82,14,92,0,92,..,515,26,543,0,549,..,306,101,409,7,410,..,1291,168,1457,12,1472,..,298,35,337,0,337,..,126
